标题	年份	类型	国家	时长	评分	人数	概括	链接
掌心 Ладони	1994	纪录片	俄罗斯	140	8.7	87	　　１９８６－１９９０，artur aristakisian在苏联的首都－基什尼奥夫的乞丐和流浪汉中生活，他观察这些人们并且对他们的苦境极为同情.　　这部记录片追随着一系列的事件的增递－－所有某方面的处于低层的人们－－如他们奋力的持续每日的劳作，以便增加脱离生活在一个残忍和敌对的世界中.　　从他作品的视野上讲，aristakisian展现哲学，甚至可说是灵魂，（他运用比喻，拿一个流产的胎儿来暗示社会所抛弃和撤职的人们，正如他整个生活里一篇的痛楚的章节里的一道直接的参照）但是，从理论分析这个角度，他把他们，那些因其局外人的身份恰成为他们独特之一的人们，比做是基督和他的使徒．当黑白影象完全的捕捉了苏维埃，这个城度昔日所有的荒芜的繁华，Ａristakisian的感性的叙述如一个父亲对他尚未诞生的孩子所轻述的真实.	http://movie.douban.com/subject/2173334/	
亚马逊的眼泪 아마존의 눈물	2010	纪录片	韩国	-9999	8.2	568	　　《亚马逊的眼泪》是韩国MBC电视台为庆祝建台49周年而制作的大型纪录片，制作人员冒着生命危险深入亚马逊丛林拍摄，目睹和感受当地陌生的文明以及人类贪婪对雨林生态系统日益严重的破坏。该片耗资15亿韩元，耗时250天拍摄，并由《善德女王》的人气男星金南吉担任旁白，播出后备受好评，被誉为韩国有史以来最成功的电视纪录片。《亚马逊的眼泪》电视版播出时共分三集，后剪为85分钟的电影版在剧场播放。	http://movie.douban.com/subject/4707526/	
里赫特: 谜 Richter: The Enigma	1998		法国	158	9.5	332	　　在德裔苏联大钢琴家里赫特去世前一年，纪录片导演、小提琴家布鲁诺·蒙桑容（他因拍摄古尔德、梅纽因而成为音乐家纪录片领域内的大师）带着摄制组和传主同起居近一年，其成果是这部纪录片以及一本谈话录《里赫特：笔记与对话》见<a href="http://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fsubject%2F1432875%2F">www.douban.com/subje<wbr>ct/1432875/</wbr></a>。　　纪录片拍摄得非常朴实，传主本人对着镜头，用俄语讲述他的一生事件和艺术观念。态度和用语相当直率，据说在书中，保留了更多他的“粗话”。	http://movie.douban.com/subject/1828568/	
哈勃望远镜 Hubble 3D	2010	纪录片/短片	加拿大	44	8.8	6611	　　体验一个扣人心弦的故事——充满了希望、毁灭性打击、眩目的创造力、勇气和凯旋的故事。这是由获奖的IMAX太空团队打造的第七部令人惊叹的太空影片。　　《哈勃3D》借助IMAX3D技术拍摄，生动地呈现了从最初的伽利略望远镜以来，最重要地科学仪器的诞生，以及人类在太空自登月以来的最伟大的成就——哈勃太空望远镜。观众们将会近距离感受在太空中行走的宇航员完成许多美航天总署（NASA）历史上最困难的任务，也可以亲身体验从部署到实施、从令人心碎的挫折到戏剧性的救援。《哈勃3D》还将呈现出一个不同以往的宇宙，带领不同年龄层的观众体验浩瀚的银河系、恒星的诞生与死亡以及天体环境中鲜为人知的秘密。　　本片是由IMAX和华纳兄弟影业公司共同制作，并且得到了美国航天总署（NASA）的协助。IMAX 3D摄像机重返太空，记录美国太空总署（NASA）最复杂的航天飞机操作。2009年5月...	http://movie.douban.com/subject/3725324/	
当卢浮宫遇见紫禁城	2010	纪录片/历史	中国大陆	-9999	8.5	1660	　　一次不可错过的艺术盛宴；两部精典《故宫》、《台北故宫》的姊妹篇；　　三方强强联手出品 良友SMG中央新影；四年时光探索东西方文明对话；　　五度进入卢浮宫全面纪录世界级艺术经典；上百位艺术大师的心路历程。　　第一集：《遇见》　　卢浮宫在故宫午门举办“拿破仑大展”，代表东西方两个文明的卢浮宫与紫禁城，就此相遇……　　它们拥有相同的历史：从皇宫宫殿开放为博物院；它们都见证着个人的成就：拿破仑和乾隆皇帝。今天，它们一东一西，迎接人们审视的目光，传达艺术的力量。大门开启，一次中西文化的交流也由此开始……　　第二集：《逐荡两河》　　巴比伦是一片在历史的迷雾中闪光的神秘土地，与古老中国同在亚洲大陆东西两端，与华夏文明在六千年里遥遥相视。　　故宫收藏着甲骨文和彝文钟鼎，卢浮宫收藏着楔形文字泥板和人类已知第一部完整法典，汉莫拉比法典石碑。对两种文字的比较，显示出世界文明发端时已然走向...	http://movie.douban.com/subject/4116935/	
我的抗战	2010	动画/纪录片/战争	中国大陆	-9999	9.4	1540	　　战争胜利已经六十五年，全面抗战爆发已经七十三年，九•一八事变距今已经七十九年，能亲历这场战争的人已经越来越少，事实上，《我的抗战》涉及的采访对象平均年龄超过九十岁，百岁老人也有不少，他们真正经历了战争，他们的叙述既是对一生最珍贵的总结，也是活生生的故事。他们亲眼看到的，亲身经历的，远比书本和教材更让你印象深刻。他们的眼神和表情，就是历史最好的注解。	http://movie.douban.com/subject/5045822/	
公司的力量	2010	纪录片/历史	中国大陆	-9999	8.6	3024	　　该片由曾取得重大社会反响的大型纪录片《大国崛起》、《复兴之路》总导演任学安率原班人马，历时两年、跨越八国、实地拍摄数十家公司、采访百余位中外学者，精心创作完成。　　《公司的力量》是中国第一部深刻探讨公司制度的电视纪录片。它不是一部介绍各大公司发展历史的纪录片，不是一部介绍公司内部结构、体制、管理方法的纪录片。它以世界现代化进程为背景，梳理公司起源、发展、演变、创新的历史，讨论公司组织与经济制度、思想文化、科技创造、社会生活等诸多层面之间的相互推动和影响，旨在以公司为载体观察市场经济的演进，探寻正在社会主义市场经济体制下成长的中国公司的发展道路。　　《公司的力量》一片共10集，每集50分钟。分别为：　　第一集　　公司！公司！　　第二集　　市场无限　　第三集　　猎富时代　　第四集　　进步之痛　　第五集　　危机时刻　　第六集　　谁执权杖　　第七集　　各领风骚　　第八集　　创新先锋　　第九集　　本...	http://movie.douban.com/subject/5247076/	
再见北京	2009		中国大陆	74	8.3	139	　　1949年出生的龚凤海，是一名留守在延安地区的北京知青。他在黄陵县孤身一人呆了四十年，无儿无女。他始终认为毛主席领导时期是新中国最美好的时代，而对当今中国社会的种种不公平现象感到愤怒。　　到2009年4月，正好六十岁的龚凤海就要退休了。他听说北京对退休返京的孤寡老人有廉租房的政策，于是打算在春节期间回一趟北京，到他的兄弟姐妹家看看，顺便了解一下申请廉租房的手续。　　2009年2月5日，龚凤海踏上了西安开往北京的火车，那个熟悉而又陌生故乡，会以一种什么姿态来迎接阔别了六年之久的游子……	http://movie.douban.com/subject/4090525/	
远山远处 The Horse Boy	2009	纪录片	美国		8.3	1261	　　一个患有自闭症的七岁男孩，他的父母为了打开他的心房，带着他从美国来到外蒙古，寻找古老的萨满，希望通过马背上的草原生活取得效果。这是一部充满草原风情、温馨亲情的纪录片。　　OVER THE HILLS AND FAR AWAY chronicles the journey of the Isaacson family as they travel through Mongolia in search of a mysterious shaman who they believe can heal their autistic son. This film delves into the strange world of autism, horses, shamanism, and Mongolia while telling the story of a...	http://movie.douban.com/subject/3888599/	
子宫日记 In the Womb	2005		英国	-9999	9.1	1984	　　当人体的最大细胞遇上最小细胞，生命就此展开九个月子宫内的惊异旅程。。。。　　全世界六十亿人口，不论是男是女、是黑是白、是皇帝或平民、年薪百万或千万，所有人的生命都源于一个结构完美、功能巧妙的器官─&quot;子宫	http://movie.douban.com/subject/1892399/	
维度：数学漫步 Dimensions: A Walk Through Mathematics	2008	纪录片	法国	-9999	9.2	1512	　　《维度：数学漫步（Dimensions: a walk through mathematics）》是两小时长的CG科普电影，讲述了许多深奥的数学知识，如4维空间中的正多胞体、复数、分形（fractals）、纤维化理论（fibrations）等等。	http://movie.douban.com/subject/3194941/	
美国：我们的故事 America: The Story of Us	2010	纪录片	美国	-9999	9.0	3580	　　美国：我们的故事 01 反抗者 　　美国：我们的故事 02 革命 　　美国：我们的故事 03 西进 　　美国：我们的故事 04 分裂 　　美国：我们的故事 05 内战 　　美国：我们的故事 06 腹地 　　美国：我们的故事 07 城市 　　美国：我们的故事 08 繁荣 　　美国：我们的故事 09 萧条 　　美国：我们的故事 10 二战 　　美国：我们的故事 11 超级大国 　　美国：我们的故事 12 黄金时代	http://movie.douban.com/subject/4822098/	
镜头里的人生：肖像摄影大师安妮·莱博维茨 Annie Leibovitz: Life Through a Lens	2008	纪录片/传记/历史	美国	90	8.7	2302	　　安妮•莱柏维兹（Annie Leibovitz），1949年出生于美国康涅狄格州。这个一身朴素的长发女子却是群星闪耀的名人圈里最为璀璨的一颗明珠。她先后供职《时尚》、《滚石》和《名利场》等杂志，曾与约翰•列侬、大野洋子、滚石乐队、黛咪•摩尔、乔治•克鲁尼、朱丽娅•罗伯茨、克莉斯汀•邓丝特等名人有过近距离接触。她的作品带有浓厚的个人印记，既承载了历史，又引起广泛的热议。关于这个风格多变摄影师的争论似乎从未停止，但她作品中所折射出来的魅力却无人可以否认。　　2009年，安妮了获得了纽约摄影中心无限奖（ICP Infinity Awards）终身成就奖。	http://movie.douban.com/subject/2143781/	
与霍金一起了解宇宙 Into the Universe with Stephen Hawking	2010	纪录片	美国	-9999	9.3	4080	　　英国著名物理学家史蒂芬•霍金近日发出警告，称外星生物可能真的存在，但是人类与他们接触可能会带来毁灭性的后果。在“探索”频道新近推出的纪录片《与霍金一起了解宇宙》中，霍金指出外星生物在消耗尽自己星球上的资源后便会乘坐大型飞船到他们能够到达的星球掠夺资源，并将那里开拓成为他们的殖民地；如果有外星生物到访地球，那将会像当年意大利航海家哥伦布登陆美洲大陆一样，最后给人类带来毁灭性的灾难。　　68岁的霍金在片中谈论了他对宇宙外星生命问题的最新思考。他认为外星生命几乎肯定存在於宇宙的许多其他地方——不仅是活在行星之上，甚至还可能存在於恒星中心，甚或是漂浮於行星间的广阔宇宙。　　霍金认为外星人存在的理论依据，超乎寻常的「简单」。他指出，宇宙有1000亿个银河系，每个都包含上亿计恒星，在这样一个庞大空间裏，地球不大可能是唯一演化出生命的行星。「我觉得，纯粹出於数学脑筋去...	http://movie.douban.com/subject/4826758/	
优雅的宇宙 The Elegant Universe	2003	纪录片	美国 / 英国	-9999	9.0	2045	　　一连三集《优雅的宇宙》探讨二十世纪物理学一项重大发现－弦理论（String Theory），从爱恩斯坦到现代在「弦理论」上的发展过程，深入浅出地作出介绍。「弦理论」提到宇宙原本有十一次元空间，及后发生了一场爆炸，使当中一些次元收缩到基本粒子的空间之中，造成天文物理学家在观测天象时出现差距。	http://movie.douban.com/subject/1428478/	
星期六的地图 A Map for Saturday	2007	纪录片	美国		8.8	1071	　　「要住豪华酒店也可以，但住寄宿公寓或青年旅馆，这才叫做旅行！」　　「经过五六十年后，我会说：我经历过一段美好的人生！」　　「我想花364天去旅行，然后回家过圣诞节！」　　「你会结交到非常好的朋友，但三天后说再见，可能一辈子都不会再见面」！　　本片导演布鲁克‧希尔瓦-布加拉，原为HBO的体育节目制作人，曾获美国的艾美奖殊荣。他住在纽约中央公园旁的公寓，享有高薪，过着光鲜亮丽的生活，但却因为一个旅行的梦想，放弃了令人称羡的工作，带着五磅的随身衣物与三十磅的摄影器材，展开了一趟游遍四大洲26个国家的背包客之旅。过程中布鲁克透过一段段的访谈，揭露了自助旅行与背包客的友谊、爱情、世界观、以及各种对于「旅行」的看法，呈现世界各国不同文化、不同民族的风俗民情。不仅充满了欢乐与孤独的探险经验，更挑战我们观看世界的方法。　　片中的布鲁克在澳洲认识了德国人杨斯，离开银行的工作到澳...	http://movie.douban.com/subject/3572062/	
主佑我前行 Lord Don&#39;t Slow Me Down	2007	纪录片/音乐/传记	英国	-9999	9.2	464	　　Lord Don't Slow Me Down is a rockumentary film, looking back on British band Oasis' Don't Believe the Truth world tour which took place from May 2005 to March 2006. The film is directed by Baillie Walsh.　　A handful of fans-only private screenings took place around the world with the world premiere of the film at the Directors Guild Theater in New York City on November 4, 2006 as...	http://movie.douban.com/subject/2282945/	
做个好的约翰尼·威尔 Be Good Johnny Weir	2010	Reality-TV	美国	-9999	9.4	320	　　Lights, camera, axel! The eight-part Sundance Channel original documentary series, BE GOOD JOHNNY WEIR explores the life of one of America's most outspoken and colorful sports figures, three-time U.S. National Figure Skating Champion and World Medalist Johnny Weir. The series airs Mondays at 10:30pm e/p beginning January 18.　　BE GOOD JOHNNY WEIR delivers an absorbing portrait of...	http://movie.douban.com/subject/4299611/	
何处安放你藏起的笑容？ Où gît votre sourire enfoui?	2001	纪录片	法国 / 葡萄牙	104	8.4	108	　　纪录片	http://movie.douban.com/subject/1829853/	
哈维·米尔克的时代 The Times of Harvey Milk	1984	纪录片/传记/历史	美国	90	8.7	273	　　一部关于曾被美国时代杂志选为20世纪代表人物之一的同性恋政治家Harvey Milk的记录片。　　Harvey Milk是首个以公开同性恋者身份者角逐成功为美国旧金山市重要官员，生前致力争取同性恋者的公民权益。他被暗杀前，很有希望当选为卡斯特罗(旧金山最著名的同性恋街区)的市长。70年代间，当他推动通过旧金山市首个同性恋者的公民权益条例之际，Harvey Milk与他的政冶盟友George Moscone于1978年11月28日被保守派前旧金山市前警察官Dan White刺杀而死，事件唤醒了当地同性恋者，使他们对争取自身权益作出了强烈的反省和回应。　　1985年奥斯卡最佳长记录片	http://movie.douban.com/subject/1301132/	
列国图志 Discovery Atlas	2006	纪录片	美国	-9999	8.6	836	　　Discovery传播公司推出史诗巨篇「列国图志」。作为全球媒体盛事，我们将带领观众环游世界三十个国家，借助超卓的摄影画面、优质的制作价值和先进的高清技术，前所未有地捕捉各国风貌。丰富的科学知识和恢弘的视觉美感，让系列专辑「列国图志」成为Discovery传播公司的最新全球巨献，帮助观众探索其世界并满足其天生的好奇心。　　未来五年，这一系列气势非凡的叙事纪录片将前往全世界最古老、最多元的部分国家，聚焦当地丰富多样的文化、地理和自然现象。随着精彩专辑「列国图志：中国」在Discovery探索频道上全球首映开播，我们的旅程从10月14日起正式启航。紧随中国之后，精彩专辑「列国图志：意大利」、「列国图志：巴西」和「列国图志：澳大利亚」也将会分别探究异域的风土人情。　　&quot;系列专辑「列国图志」旨在打造最全面的视觉记录，记录下世界的历史、文明、地理、工业、科技和人民...	http://movie.douban.com/subject/2070580/	
世纪宋美龄 世紀宋美齡	2003	纪录片	台湾	-9999	9.0	1227	　　宋美龄，她是中国近代史上最具传奇色彩的女性，也是最活跃与最神秘的女性。随着她已离开这个纷扰的人间，过往的历史更加令人怀念。由中国台湾公视制作小组花费两年时间深入研究，走访两岸三地和美国，为这位跨世纪的传奇女性，留下珍贵的生命纪录！　　第一集：东方与西方 清末民初，中国与西方文明接触、冲突的年代，宋美龄风云际会地站在时代的浪头。她十岁即赴美当小留学生，饱受西方文化熏陶；二次世界大战，她赴美发表演说......　　第二集：奋起与挫败 宋美龄与蒋介石结婚后，1936年，西安事变惊爆中外，蒋介石遭张学良扣押，宋美龄的角色又是如何的？而抗战结束后，宋氏家族以权势谋私的行为，在当时贫弱的中国社会饱受抨击，宋美龄的角色也备受争议，成为她最大的负担......。　　第三集：老干与新枝 1988年，蒋经国病逝，宋美龄对国民党推举李登辉曾经表达过不同的意见，却不被采纳，因此她...	http://movie.douban.com/subject/2252770/	
U2 3D	2007	纪录片/音乐	美国	85	8.6	27	　　獨立電影界的年度盛事－日舞影展（Sundance Film Festival）的參展影片已經開始在影展舉行地－猶他州公園市放映了，上週末票房反應最熱烈的不是什麼風格特殊劇本突出的好萊塢獨立電影，而是一部來自都柏林的3D立體電影，而且這部電影甚至還不是一部劇情片，而是以一支全球知名超級團體的現場表演為紀錄主題的片子－U2的「U2 3D」。　　上星期六「U2 3D」在日舞影展舉行了首映會，現場爆滿的歌迷三不五時激情尖叫的場面不在話下，參與首映典禮的特別來賓也都個個大有來頭，其中包括了日舞影展的創始人、老牌影星、導演勞勃瑞福（Robert Redford）、美國前副總統高爾（Al Gore）、影帝班金斯利（Ben Kingsley）、影星伍迪哈里遜（Woody Harrelson）...等等，為現場增添了不少星光。　　「U2 3D」以數位影像拍攝紀錄了U2合唱...	http://movie.douban.com/subject/2056668/	
迈克尔·杰克逊-危险之旅之布加勒斯特站 Michael Jackson Live in Bucharest：The Dangerous Tour.1992	1992	音乐	美国	-9999	9.7	1681	　　Dangerous”（“危险之旅”）世界巡演打破了他的“Bad”巡演记录，成为史上最大规模的演唱会（迈克尔后来的“History”巡演又打破了“Dangerous”巡演创下的记录）。　　“Dangerous”世界巡演共69场，吸引了350万乐迷到场观看。　　迈克尔将“Dangerous”巡演的收入全数捐给了他自己的“拯救世界基金会”和其他众多慈善机构。　　迈克尔将布加勒斯特（罗马尼亚）“Dangerous”演唱会的直播权以1200万英镑的价格卖给了HBO（Home Box Office）有线电视台，创下现场演唱会直播费的最高记录。这场演唱会特辑也为HBO创下了有线电视网史上最高收视记录（21.4 %的收视率,34%户率）。迈克尔因此获得“有线电视杰出奖”（Cable Ace Award）。　　1992年10月1日的布加勒斯特演唱会在全球61个国家的电台和电视...	http://movie.douban.com/subject/2122915/	
Green Day：圣经上的子弹演唱会 Green Day: Bullet in a Bible	2005	喜剧/纪录片/音乐	英国 / 美国		9.5	3387	　　“Bullet In A Bible”完整纪录了流行庞克教父Green Day，於2005年6月12日在英国伦敦Milton Keynes National Bowl所举办、涌入六万五千多人的惊人现场演唱实况。演唱会中除了演唱“American Idiot”专辑中的七首绝佳作品，包含开场衝出令台下爆满乐迷急速High上天的「American Idiot」、感动大合唱的「Wake Me Up When September Ends」及「Boulevard Of Broken Dreams」等，还外加成名曲「Longview」及「Basket Case」、「Minority」、「Brain Stew」、「Good Riddance (Time Of Your Life)」等耳熟能详佳作，其中Billie演唱、耍宝、带动气氛之功力，都是值得你竖起大拇指称许...	http://movie.douban.com/subject/2052209/	
巴西足球魂 Ginga	2005	纪录片/运动	巴西 / 美国	63	9.2	432	　　对某些人来说，足球的灵魂已经失落。　　对失败的担忧，使他们对这项美丽运动的梦想蒙上了阴影。　　但仍然有一个地方，技巧、快乐、感情和荣耀主宰着那里。　　电影《上帝之城》（Cidade de Deus）的原创人员拍了这一部纪录片，叙述了巴西最美丽的运动。　　拍摄此部影片：从里约热内卢到圣保罗，又到了亚马逊地带，然后再回到起点。　　跟随七位年轻的足球运动员以及他们的足球梦。　　他们的故事充满了希望、生存和灵魂。　　欢迎来到巴西　　Joga Bonito	http://movie.douban.com/subject/2228942/	
乘着光影旅行－李屏宾的摄影人生	2009	纪录片	台湾	-9999	8.9	1601	　　导演关本良、姜秀琼追随李屏宾的足迹，走访日本、法国、挪威等地，除了忠实记录李屏宾的工作状态，平时隐身在摄影机后的大师也首度在镜头前，畅谈自己的学习、成长、手法与哲学。	http://movie.douban.com/subject/4074216/	
特斯拉：闪电的主人 Tesla: Master of Lightning	2000	纪录片/传记/历史	美国	87	9.1	586	　　Nikola Tesla是塞尔维亚裔美国科学家，电气工程师和发明家，他的研究为现代电气和通信系统奠定了基础。尽管他的成绩卓着，但是世人对他还是知之甚少，，他拥有700项专利并且这一切来自于令人钦佩的各方面的造诣，包括交流电系统、无线电、特斯拉感应线圈变压器，无线传输，和荧光灯。1856年7月10日，Tesla在克罗埃西亚的Smiljan 出生。（有的记载认为是7月9日或者是7月9或10日）他的父亲是一个传统的牧师和作家同时也是一位诗人；他的母亲是一个发明工具的家庭主妇，打蛋器就是她发明的，这些发明的收入用来补充日常的开销。还是一个在校生的时候，Tesla就能够快速的进行复杂计算，以致于他时常被指责是在作弊。为了进入奥地利格拉茨的技术大学和布拉格大学他受过工程师培训。自从1884年他们移民到美国之后，Tesla和Thomas Edison一起工作。然而...	http://movie.douban.com/subject/3839227/	
无仁义之城 Ghosts of Cité Soleil	2006	剧情/动作/爱情/纪录片/音乐/战争	丹麦 / 美国		8.5	116	　　作为海地黑帮首领的2Pac和比利，这两个亲兄弟必须在这个几乎没有任何选择余地的世界中做出决择。影片通过不可思议方式零距离地观察黑帮兄弟间的爱与恨；和他们二人与法国人莉莉间的三角之恋；还看到了他们与绝望中仍想维持权力的阿里斯蒂德之间的丑恶协议。以暴力为话语权的2pac和比利知道，在海地，生存下去就是每天的挑战，他们想要为自己也想要为他们的人民找到更好的生活。《太阳城的幽灵》讲述了那些在极度危险的太阳城贫民窟中弱肉强食的青年人的故事，和他们如何被政治所利用。它见证了绝望中的梦想，以及他们借助hip-hop和说唱音乐来祈求生存的希望。	http://movie.douban.com/subject/2027967/	
Joyside欧洲巡演记录 The Joyside of Europe	2009	纪录片/音乐	德国		8.8	214	　　Four Chinese punk rockers on a journey through a strange world – to a “Chinese” restaurant run by Thais, at the hardcore vegan place in Bremen, at the Bavarian emergency clinic, in a small Hessian village, holding an early-morning dream interpretation session at an Autobahn rest area, and playing numerous wild concerts.　　Joyside from Beijing take you on the road – in their band ...	http://movie.douban.com/subject/3603156/	
我和世界不一样 No Arms No Legs No Worries	2008	纪录片/传记	澳洲	140	9.4	5680	　　这是一个关于生命潜能的演讲。尼克胡哲Nick Vujicic，1982年生于澳大利亚墨尔本，这个有着塞尔维亚血统的澳洲人，因为天生无手无脚（医学无法解释），成为他人眼中的异类。但是他并没有向命运低头，他从基督教信仰中获得力量，勇敢地战胜了所有先天的灾难，成为了创造生命奇迹的神奇布道者。面对莘莘学子时，他的乐观、豁达、幽默、睿智深深感染了现场观众：他讲述着自己残存的“小鸡腿”，并以此演示打鼓，踢球，接电话，甚至还和自告奋勇的志愿者玩了互动游戏。在给观众带来欢笑的同时，他也分享了自己的成长经历，那些关于爱，关于生命，关于梦想的片段，深深打动了现场的观众，有人激赏，有人垂泪。他用真挚感人的话语，传递了一种相信自己，战胜命运，热爱生活，给人希望的积极力量，不仅震撼了全场，也影响了世界……	http://movie.douban.com/subject/3711725/	
基耶斯洛夫斯基如是说 Krzysztof Kieslowski: I&#39;m So-So...	1995	纪录片/传记	丹麦 / 波兰	56	8.8	547	　　This film (video) richly illustrates the life of the great Polish director Krzysztof Kieslowski. It was completed just a couple of years before his untimely death. He comes off as a simple man, not at all like the great cinematic genius he was. The film, at 56 minutes, is just long enough to sustain our interest without becoming boring. Though interesting for Kieslowski fans, o...	http://movie.douban.com/subject/1294269/	
阿凡达：创建潘多拉世界 Avatar Creating The World Of Pandora	2010	纪录片/短片	美国	22	8.6	1617	　　官方2010年1月19日发布的《阿凡达》最新幕后特辑，片长22分钟 分辨率：1280 x 720　　文件大小：1.1G　　片中导演James Cameron以及众多演职员亲身解说了潘多拉世界的创建过程, 从环境地貌取景、动植物、纳威语、演员训练、表情和动作捕捉、虚拟摄像机、3D Fution到音效配乐等等，非常详尽！	http://movie.douban.com/subject/4311892/	
±2℃ ±2℃纪录片——台湾必须面对的真相	2010	纪录片	台湾	65	8.7	869	　　由孙大伟，陈文茜监制的纪录片“± 2℃”，是第一部记录台湾气候变迁的纪录片。　　纪录片取名“± 2℃”，源自日前哥本哈根会议的结论，即是未来人类如果要生存，就必须将气温控制在摄氏两度以内。片中模拟台湾未来在全球暖化影响下的可能处境，也分析了台湾的各种“先天不良，后天失调”等问题。陈文茜表示，筹拍此片纯粹是为了教育下一代。　　这部片子没有版权。可任意传播。	http://movie.douban.com/subject/4312211/	
科比工作进行时 Kobe Doin&#39; Work	2009	纪录片/运动	美国	84	8.2	1290	　　这是一部由美国著名黑人导演斯派克·李于上赛季湖人队对阵马刺队西部决赛开始着手拍摄的关于记录科比职业生涯的纪录片。　　在亚特兰大接受媒体采访时，导演斯派克-李说：“做这件事应该是正确并富有意义的，因为科比最近几年在球场上所做的一切几乎是不可复制的。”　　斯派克-李对拍摄这部纪录片很有信心，而且在拍摄之前他也做了大量的准备工作。他说“我们需要随时跟着科比访问他，我们有30台相机，并且希望湖人队主教练菲尔-杰克逊允许我们在赛前、中场休息和比赛结束后把摄像机带进更衣室，我们要随时纪录科比的一言一行。除此之外，我更希望拍到一些别人不知道的事情，当然，这些秘密的东西不会在广播或者网络中播放，而只会出现在这个超级巨星的纪录片中。”　　在科比之前，曾经有人为迈克尔-乔丹拍过纪录片，片名为《终极乔丹》(Ultimate Jordan)，这部双碟纪录片大约持续五个半小时，可以...	http://movie.douban.com/subject/3410415/	
伟忠妈妈的眷村	2007	纪录片	台湾	96	8.9	848	　　中天新闻台将在本周六、日（ 5/12 、 5/13 ）晚间八点推出电视才子王伟忠拍摄的「伟忠妈妈的眷村」记录片，本片是王伟忠在得知故乡嘉义的建国二村将拆迁後，耗费五年的时间所留下的影像全记录，昨天中天新闻台特地先举行发表会，除了主人翁王伟忠夫妻、王伟忠妈妈和大姐均到场外，同样是眷村长大的孙鹏、谢震武、何戎、琇琴和好久不见的孙越与国家文化总会秘书长陈郁秀也特别前来站台与祝贺，中天电视总经理陈守国表示：「王伟忠不愧是电视才子，每段时间都会有令人惊艳的作品出现，『伟忠妈妈的眷村』中，王伟忠把自己的回忆呈现的非常感人，在母亲节前夕，中天新闻台也借花献佛，将这部记录片献给天下所有的妈妈们。」　　「伟忠妈妈的眷村」中记录了王伟忠一家人对於故乡的深深眷恋，尤其是伟忠妈妈，从来到台湾後便居住在嘉义建国二村，建国二村陪伴了伟忠妈妈五十几年的岁月，当得知建国二村要拆除後，...	http://movie.douban.com/subject/3757336/	
没有审查机构的审查 Zabranjeni bez zabrane	2007	纪录片	Serbia	52	8.5	151	　　纪录片关于几十年前的那个黑暗的社会体制下，一群人是如何用电影去反抗政府的暴力和压制，他们即被后来者称为南斯拉夫”黑浪潮“一代。　　A profound insight into history of Yugoslav cinema through censorship perspective. How did famous anti-communist movies from Yugoslav time succeeded in being made and what consequences did they had to bear? Film contains original interviews with most important dissident filmmakers from communist time, including Dus...	http://movie.douban.com/subject/4050408/	
日常生存自救手册 第一季 Worst-Case Scenario Season 1	2010	纪录片	美国	-9999	9.1	1132	　　【内容介绍】：　　你曾经想象过最危险的情景吗？　　如果发生在你身上 你知道该如何应对吗？　　我是Bear Grylls　　用我的特别的生存技巧和直觉，我会教你在日常生活中碰到危险情况时的应对方法　　因为是幸存……还是遇难，关键取决于你有没有利用求生知识做出正确的选择.　　Bear Grylls 从荒野回到了城市，他将告诉你如何应对发生在日常生活中的各种危险。　　第1集：被困燃烧车辆中 撞船事故营救 小贴士：被工业强力胶粘住的手指　　第2集：被困触电车辆中 糟遇疯狗 小贴士：被口香糖粘到了怎么办　　第3集：汽车落水（救人与自救） 糟遇毒蛇 小贴士：被食物噎住该怎么办　　第4集：地震 小贴士：如何更换破灯泡　　第5集：刹车失灵 受到人身攻击 小贴士：流鼻血 对付老鼠　　第6集：极度严寒（被困工业冷库） 小贴士：手指麻木该怎么办　　第7集：抛锚沙漠中 小贴士：引擎过热 邂逅毒蛛　　第...	http://movie.douban.com/subject/10763239/	
与摩根·弗里曼一起穿越虫洞 第一季 Through The Wormhole With Morgan Freeman Season 1	2010	纪录片	美国	-9999	9.3	1525	　　宇宙是什么？宇宙的起源是怎样的？宇宙真的只存在我们地球人类吗？外星生物真的只是一个理论吗？你有没有想过，当你身处黑洞，或进入虫洞可以实现时间旅行，你会怎样？让我们一起跟随着奥斯卡影帝Morgan Freeman走进我们这个神秘的宇宙，一起来揭开它的神秘面纱吧！	http://movie.douban.com/subject/4051764/	
